Año,Cultivo,Item,Toneladas
1961,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",13150.0
1962,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",12100.0
1963,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",11610.0
1964,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",12901.0
1965,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",12687.0
1966,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",16486.0
1967,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",17223.0
1968,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",16031.0
1969,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",17040.0
1970,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",19030.0
1971,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",19443.0
1972,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",15802.0
1973,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",14738.0
1974,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",14255.0
1975,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",13288.0
1976,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",14604.0
1977,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",11485.0
1978,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",10437.0
1979,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",11364.0
1980,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",13614.0
1981,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",14105.0
1982,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",15283.0
1983,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",14671.0
1984,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",16052.0
1985,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",14258.0
1986,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",15759.0
1987,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",18998.0
1988,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",14570.0
1989,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",13950.0
1990,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",12525.0
1991,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",12383.0
1992,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",11578.0
1993,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",21986.0
1994,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",15852.0
1995,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",16560.0
1996,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",31947.0
1997,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",34479.0
1998,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",48443.0
1999,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",60682.0
2000,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",70381.0
2001,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",70724.0
2002,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",62142.0
2003,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",69924.0
2004,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",70216.0
2005,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",99365.0
2006,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",94126.0
2007,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",111522.0
2008,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",138579.0
2009,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",119759.0
2010,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",98570.0
2011,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",127521.0
2012,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",135702.0
2013,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",126196.0
2014,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",127875.0
2015,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",119096.0
2016,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",131066.0
2017,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",153289.0
2018,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",175706.96
2019,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",182642.0
2020,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",176197.37
2021,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",213655.0
2022,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",210508.0
2023,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",215385.0
2024,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",201451.0
1961,Alcachofa,Artichokes,3500.0
1962,Alcachofa,Artichokes,3500.0
1963,Alcachofa,Artichokes,3500.0
1964,Alcachofa,Artichokes,3500.0
1965,Alcachofa,Artichokes,3500.0
1966,Alcachofa,Artichokes,3522.0
1967,Alcachofa,Artichokes,4096.0
1968,Alcachofa,Artichokes,5068.0
1969,Alcachofa,Artichokes,3050.0
1970,Alcachofa,Artichokes,2072.0
1971,Alcachofa,Artichokes,1824.0
1972,Alcachofa,Artichokes,1789.0
1973,Alcachofa,Artichokes,1960.0
1974,Alcachofa,Artichokes,1627.0
1975,Alcachofa,Artichokes,1996.0
1976,Alcachofa,Artichokes,2010.0
1977,Alcachofa,Artichokes,1362.0
1978,Alcachofa,Artichokes,1161.0
1979,Alcachofa,Artichokes,841.0
1980,Alcachofa,Artichokes,1100.0
1981,Alcachofa,Artichokes,1589.0
1982,Alcachofa,Artichokes,1510.0
1983,Alcachofa,Artichokes,1502.0
1984,Alcachofa,Artichokes,1536.0
1985,Alcachofa,Artichokes,955.0
1986,Alcachofa,Artichokes,953.0
1987,Alcachofa,Artichokes,1077.0
1988,Alcachofa,Artichokes,1110.0
1989,Alcachofa,Artichokes,967.0
1990,Alcachofa,Artichokes,888.0
1991,Alcachofa,Artichokes,898.0
1992,Alcachofa,Artichokes,1010.0
1993,Alcachofa,Artichokes,988.0
1994,Alcachofa,Artichokes,1382.0
1995,Alcachofa,Artichokes,1881.0
1996,Alcachofa,Artichokes,5264.0
1997,Alcachofa,Artichokes,2238.0
1998,Alcachofa,Artichokes,2449.0
1999,Alcachofa,Artichokes,2662.0
2000,Alcachofa,Artichokes,4310.0
2001,Alcachofa,Artichokes,6772.0
2002,Alcachofa,Artichokes,8406.0
2003,Alcachofa,Artichokes,19752.0
2004,Alcachofa,Artichokes,42031.0
2005,Alcachofa,Artichokes,67942.0
2006,Alcachofa,Artichokes,113200.0
2007,Alcachofa,Artichokes,134244.0
2008,Alcachofa,Artichokes,126201.0
2009,Alcachofa,Artichokes,115710.0
2010,Alcachofa,Artichokes,127323.0
2011,Alcachofa,Artichokes,150417.0
2012,Alcachofa,Artichokes,141708.0
2013,Alcachofa,Artichokes,112865.0
2014,Alcachofa,Artichokes,103348.11
2015,Alcachofa,Artichokes,89983.0
2016,Alcachofa,Artichokes,108801.33
2017,Alcachofa,Artichokes,145068.0
2018,Alcachofa,Artichokes,154551.94
2019,Alcachofa,Artichokes,131707.22
2020,Alcachofa,Artichokes,82095.82
2021,Alcachofa,Artichokes,99518.44
2022,Alcachofa,Artichokes,89492.33
2023,Alcachofa,Artichokes,136692.6
2024,Alcachofa,Artichokes,122918.16
2010,Arandano,Blueberries,30.0
2011,Arandano,Blueberries,320.0
2012,Arandano,Blueberries,560.0
2013,Arandano,Blueberries,1668.0
2014,Arandano,Blueberries,2500.0
2015,Arandano,Blueberries,10585.0
2016,Arandano,Blueberries,22978.29
2017,Arandano,Blueberries,52301.0
2018,Arandano,Blueberries,94805.0
2019,Arandano,Blueberries,147900.0
2020,Arandano,Blueberries,179305.0
2021,Arandano,Blueberries,228160.0
2022,Arandano,Blueberries,292584.0
2023,Arandano,Blueberries,229390.0
2024,Arandano,Blueberries,353600.0
1961,Arroz,Rice,331877.0
1962,Arroz,Rice,391361.0
1963,Arroz,Rice,269860.0
1964,Arroz,Rice,351475.0
1965,Arroz,Rice,290520.0
1966,Arroz,Rice,374032.0
1967,Arroz,Rice,461420.0
1968,Arroz,Rice,286195.0
1969,Arroz,Rice,444432.0
1970,Arroz,Rice,586721.0
1971,Arroz,Rice,591111.0
1972,Arroz,Rice,482326.0
1973,Arroz,Rice,483471.0
1974,Arroz,Rice,494237.0
1975,Arroz,Rice,536835.0
1976,Arroz,Rice,570415.0
1977,Arroz,Rice,594010.0
1978,Arroz,Rice,467758.0
1979,Arroz,Rice,560399.0
1980,Arroz,Rice,441233.0
1981,Arroz,Rice,760176.0
1982,Arroz,Rice,825730.0
1983,Arroz,Rice,799032.0
1984,Arroz,Rice,1139997.0
1985,Arroz,Rice,878279.0
1986,Arroz,Rice,725915.0
1987,Arroz,Rice,1168600.0
1988,Arroz,Rice,1129240.0
1989,Arroz,Rice,1091430.0
1990,Arroz,Rice,966101.0
1991,Arroz,Rice,814168.0
1992,Arroz,Rice,829373.0
1993,Arroz,Rice,967627.0
1994,Arroz,Rice,1401393.0
1995,Arroz,Rice,1141550.0
1996,Arroz,Rice,1203168.0
1997,Arroz,Rice,1459830.0
1998,Arroz,Rice,1548780.0
1999,Arroz,Rice,1955027.0
2000,Arroz,Rice,1892100.0
2001,Arroz,Rice,2026970.0
2002,Arroz,Rice,2118679.0
2003,Arroz,Rice,2132405.0
2004,Arroz,Rice,1844896.0
2005,Arroz,Rice,2468357.0
2006,Arroz,Rice,2362260.0
2007,Arroz,Rice,2256000.0
2008,Arroz,Rice,2775800.0
2009,Arroz,Rice,2991157.0
2010,Arroz,Rice,2831374.0
2011,Arroz,Rice,2624458.0
2012,Arroz,Rice,3043330.45
2013,Arroz,Rice,3050934.0
2014,Arroz,Rice,2896613.0
2015,Arroz,Rice,3151408.0
2016,Arroz,Rice,3190969.47
2017,Arroz,Rice,3115544.0
2018,Arroz,Rice,3557899.99
2019,Arroz,Rice,3190969.47
2020,Arroz,Rice,3434199.0
2021,Arroz,Rice,3538443.59
2022,Arroz,Rice,3347685.78
2023,Arroz,Rice,3402367.71
2024,Arroz,Rice,3640432.02
1961,Cacao,Cocoa beans,2688.0
1962,Cacao,Cocoa beans,2464.0
1963,Cacao,Cocoa beans,2670.0
1964,Cacao,Cocoa beans,2674.0
1965,Cacao,Cocoa beans,1836.0
1966,Cacao,Cocoa beans,2149.0
1967,Cacao,Cocoa beans,2301.0
1968,Cacao,Cocoa beans,1795.0
1969,Cacao,Cocoa beans,2412.0
1970,Cacao,Cocoa beans,2107.0
1971,Cacao,Cocoa beans,2173.0
1972,Cacao,Cocoa beans,2231.0
1973,Cacao,Cocoa beans,2406.0
1974,Cacao,Cocoa beans,2545.0
1975,Cacao,Cocoa beans,2658.0
1976,Cacao,Cocoa beans,2607.0
1977,Cacao,Cocoa beans,3998.0
1978,Cacao,Cocoa beans,4039.0
1979,Cacao,Cocoa beans,4262.0
1980,Cacao,Cocoa beans,4420.0
1981,Cacao,Cocoa beans,5312.0
1982,Cacao,Cocoa beans,6045.0
1983,Cacao,Cocoa beans,6145.0
1984,Cacao,Cocoa beans,6501.0
1985,Cacao,Cocoa beans,8033.0
1986,Cacao,Cocoa beans,11082.0
1987,Cacao,Cocoa beans,14080.0
1988,Cacao,Cocoa beans,16658.0
1989,Cacao,Cocoa beans,17813.0
1990,Cacao,Cocoa beans,14796.0
1991,Cacao,Cocoa beans,15473.0
1992,Cacao,Cocoa beans,15000.0
1993,Cacao,Cocoa beans,14970.0
1994,Cacao,Cocoa beans,13446.0
1995,Cacao,Cocoa beans,22704.0
1996,Cacao,Cocoa beans,22867.0
1997,Cacao,Cocoa beans,19504.0
1998,Cacao,Cocoa beans,22134.0
1999,Cacao,Cocoa beans,20964.0
2000,Cacao,Cocoa beans,25049.0
2001,Cacao,Cocoa beans,23652.0
2002,Cacao,Cocoa beans,24219.0
2003,Cacao,Cocoa beans,24214.0
2004,Cacao,Cocoa beans,25921.0
2005,Cacao,Cocoa beans,25257.0
2006,Cacao,Cocoa beans,31676.0
2007,Cacao,Cocoa beans,31387.0
2008,Cacao,Cocoa beans,34003.0
2009,Cacao,Cocoa beans,36803.0
2010,Cacao,Cocoa beans,46613.0
2011,Cacao,Cocoa beans,56499.0
2012,Cacao,Cocoa beans,62491.58
2013,Cacao,Cocoa beans,71175.41
2014,Cacao,Cocoa beans,81651.0
2015,Cacao,Cocoa beans,92592.0
2016,Cacao,Cocoa beans,107921.51
2017,Cacao,Cocoa beans,121814.0
2018,Cacao,Cocoa beans,134675.74
2019,Cacao,Cocoa beans,141775.25
2020,Cacao,Cocoa beans,158943.58
2021,Cacao,Cocoa beans,160521.54
2022,Cacao,Cocoa beans,172705.33
2023,Cacao,Cocoa beans,166935.88
2024,Cacao,Cocoa beans,157252.5
1961,Cafe,"Coffee, green",42643.0
1962,Cafe,"Coffee, green",46356.0
1963,Cafe,"Coffee, green",48940.0
1964,Cafe,"Coffee, green",52740.0
1965,Cafe,"Coffee, green",48264.0
1966,Cafe,"Coffee, green",52380.0
1967,Cafe,"Coffee, green",52753.0
1968,Cafe,"Coffee, green",64652.0
1969,Cafe,"Coffee, green",68439.0
1970,Cafe,"Coffee, green",65368.0
1971,Cafe,"Coffee, green",70587.0
1972,Cafe,"Coffee, green",70195.0
1973,Cafe,"Coffee, green",70396.0
1974,Cafe,"Coffee, green",69855.0
1975,Cafe,"Coffee, green",65387.0
1976,Cafe,"Coffee, green",65445.0
1977,Cafe,"Coffee, green",80190.0
1978,Cafe,"Coffee, green",88166.0
1979,Cafe,"Coffee, green",105478.0
1980,Cafe,"Coffee, green",86177.0
1981,Cafe,"Coffee, green",79360.0
1982,Cafe,"Coffee, green",79422.0
1983,Cafe,"Coffee, green",85637.0
1984,Cafe,"Coffee, green",83357.0
1985,Cafe,"Coffee, green",90736.0
1986,Cafe,"Coffee, green",96054.0
1987,Cafe,"Coffee, green",98538.0
1988,Cafe,"Coffee, green",99414.0
1989,Cafe,"Coffee, green",105753.0
1990,Cafe,"Coffee, green",81142.0
1991,Cafe,"Coffee, green",82635.0
1992,Cafe,"Coffee, green",86519.0
1993,Cafe,"Coffee, green",85603.0
1994,Cafe,"Coffee, green",91340.0
1995,Cafe,"Coffee, green",96697.0
1996,Cafe,"Coffee, green",106520.0
1997,Cafe,"Coffee, green",133296.0
1998,Cafe,"Coffee, green",144763.0
1999,Cafe,"Coffee, green",167145.0
2000,Cafe,"Coffee, green",191651.0
2001,Cafe,"Coffee, green",196232.0
2002,Cafe,"Coffee, green",212770.0
2003,Cafe,"Coffee, green",203148.0
2004,Cafe,"Coffee, green",231447.0
2005,Cafe,"Coffee, green",188611.0
2006,Cafe,"Coffee, green",273178.0
2007,Cafe,"Coffee, green",225992.0
2008,Cafe,"Coffee, green",273780.0
2009,Cafe,"Coffee, green",243479.0
2010,Cafe,"Coffee, green",264605.0
2011,Cafe,"Coffee, green",331547.0
2012,Cafe,"Coffee, green",320163.56
2013,Cafe,"Coffee, green",256241.43
2014,Cafe,"Coffee, green",222047.0
2015,Cafe,"Coffee, green",251938.0
2016,Cafe,"Coffee, green",277760.4
2017,Cafe,"Coffee, green",337330.0
2018,Cafe,"Coffee, green",369621.99
2019,Cafe,"Coffee, green",363319.59
2020,Cafe,"Coffee, green",353205.74
2021,Cafe,"Coffee, green",363996.83
2022,Cafe,"Coffee, green",357346.42
2023,Cafe,"Coffee, green",366940.03
2024,Cafe,"Coffee, green",358993.78
1961,Camote,Sweet potatoes,144820.0
1962,Camote,Sweet potatoes,145720.0
1963,Camote,Sweet potatoes,158790.0
1964,Camote,Sweet potatoes,166411.0
1965,Camote,Sweet potatoes,123709.0
1966,Camote,Sweet potatoes,132965.0
1967,Camote,Sweet potatoes,149635.0
1968,Camote,Sweet potatoes,145026.0
1969,Camote,Sweet potatoes,156447.0
1970,Camote,Sweet potatoes,177924.0
1971,Camote,Sweet potatoes,167963.0
1972,Camote,Sweet potatoes,154464.0
1973,Camote,Sweet potatoes,156241.0
1974,Camote,Sweet potatoes,146197.0
1975,Camote,Sweet potatoes,162065.0
1976,Camote,Sweet potatoes,162547.0
1977,Camote,Sweet potatoes,157668.0
1978,Camote,Sweet potatoes,153252.0
1979,Camote,Sweet potatoes,149271.0
1980,Camote,Sweet potatoes,142710.0
1981,Camote,Sweet potatoes,155882.0
1982,Camote,Sweet potatoes,151112.0
1983,Camote,Sweet potatoes,156721.0
1984,Camote,Sweet potatoes,167574.0
1985,Camote,Sweet potatoes,111207.0
1986,Camote,Sweet potatoes,149567.0
1987,Camote,Sweet potatoes,141372.0
1988,Camote,Sweet potatoes,121446.0
1989,Camote,Sweet potatoes,145546.0
1990,Camote,Sweet potatoes,207757.0
1991,Camote,Sweet potatoes,143437.0
1992,Camote,Sweet potatoes,150272.0
1993,Camote,Sweet potatoes,197602.0
1994,Camote,Sweet potatoes,142258.0
1995,Camote,Sweet potatoes,155719.0
1996,Camote,Sweet potatoes,164001.0
1997,Camote,Sweet potatoes,256370.0
1998,Camote,Sweet potatoes,222681.0
1999,Camote,Sweet potatoes,244671.0
2000,Camote,Sweet potatoes,245779.0
2001,Camote,Sweet potatoes,254113.0
2002,Camote,Sweet potatoes,223927.0
2003,Camote,Sweet potatoes,192876.0
2004,Camote,Sweet potatoes,184375.0
2005,Camote,Sweet potatoes,184422.0
2006,Camote,Sweet potatoes,198635.0
2007,Camote,Sweet potatoes,184765.0
2008,Camote,Sweet potatoes,189869.0
2009,Camote,Sweet potatoes,262724.0
2010,Camote,Sweet potatoes,263456.0
2011,Camote,Sweet potatoes,299080.0
2012,Camote,Sweet potatoes,304008.96
2013,Camote,Sweet potatoes,292116.0
2014,Camote,Sweet potatoes,278293.0
2015,Camote,Sweet potatoes,288164.0
2016,Camote,Sweet potatoes,269670.43
2017,Camote,Sweet potatoes,256434.0
2018,Camote,Sweet potatoes,275322.8
2019,Camote,Sweet potatoes,300987.78
2020,Camote,Sweet potatoes,243157.46
2021,Camote,Sweet potatoes,305757.53
2022,Camote,Sweet potatoes,275336.62
2023,Camote,Sweet potatoes,307708.28
2024,Camote,Sweet potatoes,293210.68
1961,Cana_azucar,Sugar cane,8100000.0
1962,Cana_azucar,Sugar cane,7950000.0
1963,Cana_azucar,Sugar cane,8285310.0
1964,Cana_azucar,Sugar cane,8100000.0
1965,Cana_azucar,Sugar cane,8000000.0
1966,Cana_azucar,Sugar cane,9002009.0
1967,Cana_azucar,Sugar cane,8433150.0
1968,Cana_azucar,Sugar cane,7737181.0
1969,Cana_azucar,Sugar cane,6898210.0
1970,Cana_azucar,Sugar cane,8067975.0
1971,Cana_azucar,Sugar cane,8777762.0
1972,Cana_azucar,Sugar cane,9098410.0
1973,Cana_azucar,Sugar cane,9261451.0
1974,Cana_azucar,Sugar cane,9668516.0
1975,Cana_azucar,Sugar cane,9439616.0
1976,Cana_azucar,Sugar cane,9227137.0
1977,Cana_azucar,Sugar cane,9293310.0
1978,Cana_azucar,Sugar cane,8422860.0
1979,Cana_azucar,Sugar cane,7505970.0
1980,Cana_azucar,Sugar cane,6054521.0
1981,Cana_azucar,Sugar cane,5653755.0
1982,Cana_azucar,Sugar cane,7115266.0
1983,Cana_azucar,Sugar cane,7062810.0
1984,Cana_azucar,Sugar cane,7721563.0
1985,Cana_azucar,Sugar cane,8063000.0
1986,Cana_azucar,Sugar cane,7010300.0
1987,Cana_azucar,Sugar cane,6811000.0
1988,Cana_azucar,Sugar cane,6700000.0
1989,Cana_azucar,Sugar cane,7085000.0
1990,Cana_azucar,Sugar cane,6700000.0
1991,Cana_azucar,Sugar cane,6500000.0
1992,Cana_azucar,Sugar cane,5500000.0
1993,Cana_azucar,Sugar cane,5000000.0
1994,Cana_azucar,Sugar cane,6100000.0
1995,Cana_azucar,Sugar cane,7000000.0
1996,Cana_azucar,Sugar cane,6700000.0
1997,Cana_azucar,Sugar cane,7500000.0
1998,Cana_azucar,Sugar cane,6300000.0
1999,Cana_azucar,Sugar cane,6678570.0
2000,Cana_azucar,Sugar cane,7535150.0
2001,Cana_azucar,Sugar cane,7795950.0
2002,Cana_azucar,Sugar cane,8869810.0
2003,Cana_azucar,Sugar cane,9363960.0
2004,Cana_azucar,Sugar cane,7496873.0
2005,Cana_azucar,Sugar cane,6804126.0
2006,Cana_azucar,Sugar cane,7251260.0
2007,Cana_azucar,Sugar cane,8228623.0
2008,Cana_azucar,Sugar cane,9395959.0
2009,Cana_azucar,Sugar cane,10786945.0
2010,Cana_azucar,Sugar cane,10729961.0
2011,Cana_azucar,Sugar cane,12322936.0
2012,Cana_azucar,Sugar cane,12559921.51
2013,Cana_azucar,Sugar cane,13689858.66
2014,Cana_azucar,Sugar cane,13775759.59
2015,Cana_azucar,Sugar cane,10211856.0
2016,Cana_azucar,Sugar cane,11884724.7
2017,Cana_azucar,Sugar cane,11127472.88
2018,Cana_azucar,Sugar cane,11715260.05
2019,Cana_azucar,Sugar cane,13468207.44
2020,Cana_azucar,Sugar cane,12846609.67
2021,Cana_azucar,Sugar cane,12344084.51
2022,Cana_azucar,Sugar cane,11968230.66
2023,Cana_azucar,Sugar cane,11919221.0
2024,Cana_azucar,Sugar cane,12038562.0
1961,Cebolla,"Onions and shallots, dry (excluding dehydrated)",57660.0
1962,Cebolla,"Onions and shallots, dry (excluding dehydrated)",68760.0
1963,Cebolla,"Onions and shallots, dry (excluding dehydrated)",90720.0
1964,Cebolla,"Onions and shallots, dry (excluding dehydrated)",124010.0
1965,Cebolla,"Onions and shallots, dry (excluding dehydrated)",101945.0
1966,Cebolla,"Onions and shallots, dry (excluding dehydrated)",113773.0
1967,Cebolla,"Onions and shallots, dry (excluding dehydrated)",125617.0
1968,Cebolla,"Onions and shallots, dry (excluding dehydrated)",127164.0
1969,Cebolla,"Onions and shallots, dry (excluding dehydrated)",129605.0
1970,Cebolla,"Onions and shallots, dry (excluding dehydrated)",159146.0
1971,Cebolla,"Onions and shallots, dry (excluding dehydrated)",157737.0
1972,Cebolla,"Onions and shallots, dry (excluding dehydrated)",149947.0
1973,Cebolla,"Onions and shallots, dry (excluding dehydrated)",136347.0
1974,Cebolla,"Onions and shallots, dry (excluding dehydrated)",149136.0
1975,Cebolla,"Onions and shallots, dry (excluding dehydrated)",141554.0
1976,Cebolla,"Onions and shallots, dry (excluding dehydrated)",153862.0
1977,Cebolla,"Onions and shallots, dry (excluding dehydrated)",157403.0
1978,Cebolla,"Onions and shallots, dry (excluding dehydrated)",140816.0
1979,Cebolla,"Onions and shallots, dry (excluding dehydrated)",146935.0
1980,Cebolla,"Onions and shallots, dry (excluding dehydrated)",128481.0
1981,Cebolla,"Onions and shallots, dry (excluding dehydrated)",125820.0
1982,Cebolla,"Onions and shallots, dry (excluding dehydrated)",135167.0
1983,Cebolla,"Onions and shallots, dry (excluding dehydrated)",120233.0
1984,Cebolla,"Onions and shallots, dry (excluding dehydrated)",111023.0
1985,Cebolla,"Onions and shallots, dry (excluding dehydrated)",124029.0
1986,Cebolla,"Onions and shallots, dry (excluding dehydrated)",132078.0
1987,Cebolla,"Onions and shallots, dry (excluding dehydrated)",132397.0
1988,Cebolla,"Onions and shallots, dry (excluding dehydrated)",154901.0
1989,Cebolla,"Onions and shallots, dry (excluding dehydrated)",159497.0
1990,Cebolla,"Onions and shallots, dry (excluding dehydrated)",151050.0
1991,Cebolla,"Onions and shallots, dry (excluding dehydrated)",131648.0
1992,Cebolla,"Onions and shallots, dry (excluding dehydrated)",149732.0
1993,Cebolla,"Onions and shallots, dry (excluding dehydrated)",150820.0
1994,Cebolla,"Onions and shallots, dry (excluding dehydrated)",187108.0
1995,Cebolla,"Onions and shallots, dry (excluding dehydrated)",184727.0
1996,Cebolla,"Onions and shallots, dry (excluding dehydrated)",236115.0
