fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%
2020-01-01,18.78,23.42,16.31,0.14,79.36
2020-01-02,18.95,22.29,16.1,0.07,78.58
2020-01-03,19.56,22.79,16.85,0.04,74.96
2020-01-04,19.97,24.16,17.09,0.05,71.77
2020-01-05,19.75,23.98,16.61,0.02,70.15
2020-01-06,19.62,23.89,16.25,0.01,70.33
2020-01-07,19.26,23.57,16.08,0.02,75.68
2020-01-08,19.24,22.92,16.38,0.06,77.58
2020-01-09,19.7,24.0,16.79,0.04,74.49
2020-01-10,20.75,25.39,17.12,0.01,68.84
2020-01-11,20.43,24.36,16.78,0.0,68.99
2020-01-12,20.72,25.73,17.1,0.0,67.99
2020-01-13,20.45,25.11,16.69,0.0,68.28
2020-01-14,20.17,23.79,16.88,0.02,72.95
2020-01-15,19.72,23.04,17.1,0.03,75.89
2020-01-16,20.55,24.72,17.7,0.17,71.42
2020-01-17,21.09,26.36,17.31,0.1,67.37
2020-01-18,20.71,25.67,16.24,0.08,66.44
2020-01-19,20.62,24.7,17.02,0.02,70.91
2020-01-20,20.32,23.06,18.06,0.18,75.98
2020-01-21,20.63,24.51,18.29,0.0,73.78
2020-01-22,19.21,22.45,17.32,0.02,83.63
2020-01-23,19.04,22.53,16.89,0.07,83.69
2020-01-24,19.85,23.26,17.37,0.04,78.68
2020-01-25,20.16,23.06,17.85,0.04,71.65
2020-01-26,20.41,24.18,17.68,0.02,72.67
2020-01-27,20.85,25.08,17.68,0.05,75.78
2020-01-28,19.82,23.46,17.41,0.32,79.67
2020-01-29,19.68,22.99,16.98,0.07,79.23
2020-01-30,20.64,25.32,17.64,0.43,76.02
2020-01-31,21.06,25.37,17.41,0.36,73.04
2020-02-01,20.56,23.72,17.91,0.18,77.73
2020-02-02,20.82,24.22,18.15,0.43,75.34
2020-02-03,19.89,23.2,17.9,0.52,80.98
2020-02-04,20.3,23.64,17.58,0.09,77.41
2020-02-05,20.4,24.54,17.83,0.03,72.68
2020-02-06,20.29,23.61,17.86,0.01,71.06
2020-02-07,20.71,24.26,17.79,0.02,73.32
2020-02-08,20.49,23.98,17.67,0.04,73.85
2020-02-09,20.18,24.12,17.3,0.27,75.2
2020-02-10,20.32,24.61,17.05,0.22,76.15
2020-02-11,20.72,24.68,17.63,0.29,77.46
2020-02-12,20.76,24.36,18.11,0.02,76.62
2020-02-13,20.43,23.57,17.87,0.03,71.83
2020-02-14,20.44,24.22,17.35,0.1,74.97
2020-02-15,20.66,24.71,17.89,0.02,77.57
2020-02-16,20.82,24.34,17.89,0.04,76.67
2020-02-17,21.12,25.19,18.39,0.04,77.93
2020-02-18,20.94,24.57,18.62,0.08,79.36
2020-02-19,21.31,25.54,18.85,0.06,76.24
2020-02-20,21.01,24.75,18.38,0.03,74.6
2020-02-21,20.24,23.78,17.87,0.05,80.69
2020-02-22,20.18,23.65,18.1,0.07,81.01
2020-02-23,20.58,24.36,17.77,0.08,77.76
2020-02-24,21.11,25.35,18.34,0.02,76.98
2020-02-25,20.5,24.91,17.64,0.05,78.39
2020-02-26,20.61,24.62,17.87,0.05,79.04
2020-02-27,20.63,25.1,18.01,0.03,78.08
2020-02-28,20.53,24.3,17.93,0.14,79.64
2020-02-29,20.15,23.18,17.94,0.54,82.59
2020-03-01,20.41,23.76,17.74,0.28,81.04
2020-03-02,20.56,24.53,18.14,0.05,77.43
2020-03-03,21.09,25.23,17.64,0.02,75.92
2020-03-04,20.95,24.41,18.51,0.02,75.61
2020-03-05,21.43,26.34,18.37,0.01,74.05
2020-03-06,20.88,24.54,18.05,0.04,74.66
2020-03-07,21.0,24.78,18.16,0.01,73.17
2020-03-08,20.9,25.21,18.09,0.04,73.38
2020-03-09,20.99,25.78,17.89,0.05,75.28
2020-03-10,21.18,25.63,18.12,0.0,75.24
2020-03-11,21.17,25.55,18.18,0.0,75.75
2020-03-12,21.05,24.87,18.34,0.02,74.96
2020-03-13,21.06,25.51,17.76,0.03,76.49
2020-03-14,21.02,24.84,19.02,0.04,75.63
2020-03-15,20.67,24.51,18.64,0.02,77.6
2020-03-16,20.31,24.05,17.92,0.12,78.24
2020-03-17,20.22,24.22,18.01,0.13,77.13
2020-03-18,20.16,23.5,17.79,0.07,74.76
2020-03-19,20.08,23.52,17.18,0.01,73.06
2020-03-20,19.36,22.73,17.17,0.1,72.29
2020-03-21,19.63,23.9,16.4,0.02,65.79
2020-03-22,19.79,24.32,16.49,0.03,70.57
2020-03-23,19.67,23.64,16.94,0.07,76.94
2020-03-24,19.95,24.45,16.87,0.09,79.4
2020-03-25,20.26,24.38,17.39,0.11,77.51
2020-03-26,19.59,23.21,17.44,0.06,79.94
2020-03-27,19.62,23.85,16.84,0.09,79.28
2020-03-28,19.31,22.13,17.39,0.04,78.03
2020-03-29,20.05,24.35,17.01,0.02,74.05
2020-03-30,19.68,22.76,17.04,0.03,74.6
2020-03-31,19.44,23.64,17.18,1.14,80.01
2020-04-01,19.56,24.12,16.52,0.64,79.98
2020-04-02,20.6,25.7,16.86,0.06,73.29
2020-04-03,20.72,25.34,17.43,0.01,70.48
2020-04-04,20.27,24.29,17.48,0.02,72.68
2020-04-05,20.13,24.02,17.26,0.01,71.51
2020-04-06,20.57,24.81,16.98,0.0,70.86
2020-04-07,20.88,24.92,17.72,0.0,71.46
2020-04-08,20.76,24.79,17.63,0.02,70.24
2020-04-09,20.65,25.19,17.6,0.01,72.62
2020-04-10,20.67,25.25,17.88,0.0,71.59
2020-04-11,19.66,24.06,16.74,0.0,75.57
2020-04-12,19.59,24.4,16.42,0.0,72.78
2020-04-13,19.24,24.11,16.13,0.0,73.1
2020-04-14,18.96,24.04,15.3,0.0,69.64
2020-04-15,19.5,24.59,15.57,0.0,64.53
2020-04-16,19.77,24.29,15.8,0.0,65.92
2020-04-17,20.33,24.84,16.61,0.0,63.64
2020-04-18,19.52,23.42,16.83,0.0,69.59
2020-04-19,19.61,24.04,16.6,0.0,68.11
2020-04-20,19.37,24.08,15.65,0.0,66.43
2020-04-21,19.45,24.42,15.48,0.0,62.15
2020-04-22,18.99,23.41,14.96,0.0,65.63
2020-04-23,18.9,23.43,15.2,0.0,68.57
2020-04-24,18.83,23.19,15.72,0.0,68.81
2020-04-25,18.77,23.74,15.13,0.0,70.34
2020-04-26,19.45,24.22,16.17,0.02,68.49
2020-04-27,18.95,22.52,16.54,0.01,71.93
2020-04-28,19.09,24.07,16.07,0.0,71.46
2020-04-29,18.81,23.52,15.32,0.0,73.34
2020-04-30,19.35,23.8,15.54,0.0,69.16
2020-05-01,19.61,23.76,16.44,0.02,70.31
2020-05-02,19.69,23.59,16.52,0.02,71.66
2020-05-03,19.41,22.58,17.48,0.04,74.25
2020-05-04,19.45,23.4,16.64,0.0,67.21
2020-05-05,19.86,24.21,16.33,0.01,63.14
2020-05-06,20.15,24.24,17.05,0.0,62.89
2020-05-07,19.46,23.35,16.6,0.02,70.2
2020-05-08,19.94,24.26,17.21,0.01,63.18
2020-05-09,20.05,24.66,16.58,0.01,65.04
2020-05-10,19.27,23.85,16.33,0.0,66.94
2020-05-11,18.42,23.6,15.12,0.0,64.39
2020-05-12,18.28,23.64,14.91,0.0,63.93
2020-05-13,18.6,23.26,15.17,0.0,64.18
2020-05-14,18.73,23.5,15.63,0.0,64.14
2020-05-15,18.81,23.57,15.14,0.0,59.03
2020-05-16,18.62,23.31,14.78,0.0,66.19
2020-05-17,18.9,23.71,15.54,0.0,62.65
2020-05-18,18.88,23.94,15.53,0.0,58.99
2020-05-19,18.35,23.77,14.56,0.0,57.83
2020-05-20,18.36,23.33,14.57,0.0,55.93
2020-05-21,18.15,23.13,14.44,0.0,61.11
2020-05-22,18.4,23.0,14.34,0.0,60.2
2020-05-23,18.51,22.57,15.7,0.0,64.06
2020-05-24,18.88,23.38,15.36,0.0,63.66
2020-05-25,18.84,23.62,15.18,0.0,60.86
2020-05-26,18.93,25.03,14.19,0.01,56.15
2020-05-27,18.42,23.72,13.94,0.0,55.33
2020-05-28,17.63,21.62,14.8,0.01,64.24
2020-05-29,17.46,22.12,14.07,0.0,70.1
2020-05-30,17.57,22.55,13.83,0.0,69.98
2020-05-31,17.59,22.45,14.31,0.0,69.54
2020-06-01,17.58,22.03,14.43,0.0,69.85
2020-06-02,17.65,21.79,14.82,0.0,66.49
2020-06-03,17.21,22.15,14.23,0.0,65.39
2020-06-04,17.24,21.69,13.53,0.0,65.43
2020-06-05,17.69,21.9,14.21,0.0,67.37
2020-06-06,17.96,22.01,14.63,0.0,64.27
2020-06-07,17.9,23.07,14.56,0.0,66.06
2020-06-08,17.78,23.37,13.82,0.0,66.26
2020-06-09,17.15,22.38,13.65,0.0,69.65
2020-06-10,16.36,21.2,12.52,0.0,71.26
2020-06-11,16.49,21.6,13.44,0.0,71.24
2020-06-12,16.49,21.28,13.29,0.0,72.41
2020-06-13,17.44,22.16,14.28,0.0,70.52
2020-06-14,17.67,22.34,14.34,0.0,67.24
2020-06-15,17.36,22.33,13.8,0.0,64.44
2020-06-16,17.34,22.51,13.63,0.0,65.17
2020-06-17,17.31,22.66,13.21,0.0,63.45
2020-06-18,16.45,21.03,13.64,0.02,72.13
2020-06-19,16.88,21.69,13.56,0.02,67.49
2020-06-20,17.37,22.96,13.38,0.04,60.34
2020-06-21,17.38,22.77,13.6,0.02,63.03
2020-06-22,17.19,21.99,13.36,0.04,64.84
2020-06-23,17.23,22.03,13.95,0.08,62.7
2020-06-24,16.77,21.65,13.04,0.04,56.66
2020-06-25,16.6,21.48,12.62,0.0,59.55
2020-06-26,16.78,21.49,13.77,0.01,67.04
2020-06-27,17.31,22.59,13.65,0.0,62.25
2020-06-28,16.98,22.1,13.59,0.0,61.85
2020-06-29,16.6,22.16,12.28,0.0,57.19
2020-06-30,16.3,21.57,11.98,0.0,60.54
2020-07-01,16.13,21.55,12.0,0.0,64.62
2020-07-02,15.92,21.33,11.75,0.0,61.68
2020-07-03,15.97,21.2,11.22,0.0,64.34
2020-07-04,16.43,20.7,13.14,0.0,64.29
2020-07-05,16.49,20.78,13.32,0.0,66.42
2020-07-06,16.46,20.79,13.67,0.01,66.94
2020-07-07,15.74,20.63,12.65,0.01,60.74
2020-07-08,15.57,20.87,11.57,0.01,62.92
2020-07-09,15.97,20.99,12.0,1.74,62.11
2020-07-10,16.83,21.56,13.43,0.07,56.75
2020-07-11,16.26,21.13,12.57,0.13,53.1
2020-07-12,16.59,20.9,13.3,0.01,60.16
2020-07-13,16.63,21.39,12.66,0.02,63.97
2020-07-14,17.4,22.38,13.61,0.01,60.82
2020-07-15,18.0,22.76,14.18,0.0,57.13
2020-07-16,17.51,22.84,13.85,0.0,63.41
2020-07-17,16.69,21.5,13.64,0.0,67.3
2020-07-18,16.48,21.97,12.58,0.0,62.1
2020-07-19,16.37,21.46,11.94,0.0,60.27
2020-07-20,15.88,20.86,11.74,0.0,63.31
2020-07-21,15.91,21.15,11.8,0.0,64.78
2020-07-22,16.49,21.15,12.76,0.0,64.59
2020-07-23,16.64,21.54,13.22,0.0,61.25
2020-07-24,16.78,21.6,13.25,0.01,53.68
2020-07-25,16.19,21.37,12.25,0.14,57.46
2020-07-26,16.33,21.56,11.94,0.19,58.06
2020-07-27,16.49,21.26,12.3,0.45,59.27
2020-07-28,16.43,21.59,11.9,0.24,59.71
2020-07-29,16.68,22.19,12.18,0.25,57.01
2020-07-30,17.51,22.49,12.53,0.01,56.26
2020-07-31,17.66,22.66,13.96,0.02,59.93
2020-08-01,17.04,22.52,12.41,0.09,61.39
2020-08-02,17.51,23.15,12.86,0.01,54.7
2020-08-03,16.74,22.12,12.39,0.16,61.07
2020-08-04,17.0,22.61,12.05,0.0,56.27
2020-08-05,16.85,22.6,12.38,0.0,56.04
2020-08-06,17.03,21.91,12.41,0.0,55.2
2020-08-07,17.4,23.22,12.21,0.0,54.09
2020-08-08,17.8,23.4,12.85,0.0,49.28
2020-08-09,17.88,21.71,14.23,0.0,54.79
2020-08-10,17.34,22.32,14.04,0.03,56.7
2020-08-11,16.91,21.72,12.7,0.05,50.3
2020-08-12,16.74,22.1,12.73,0.01,51.14
2020-08-13,16.85,21.95,12.62,0.01,52.13
2020-08-14,16.82,21.99,12.83,0.06,53.55
2020-08-15,16.85,21.88,12.62,0.14,50.46
2020-08-16,16.64,21.35,13.14,0.09,54.35
2020-08-17,16.27,21.12,13.17,0.05,58.46
2020-08-18,15.84,21.15,12.09,0.07,63.14
2020-08-19,16.14,21.37,12.33,0.04,61.36
2020-08-20,16.95,22.24,12.83,0.04,56.82
2020-08-21,17.06,21.31,13.99,0.06,61.91
2020-08-22,16.66,21.07,13.37,0.16,63.45
2020-08-23,15.97,20.59,13.11,0.06,65.17
2020-08-24,16.18,20.84,12.22,0.0,63.91
2020-08-25,16.7,21.31,13.47,0.0,62.84
2020-08-26,16.92,21.86,13.38,0.0,63.38
2020-08-27,16.88,21.96,13.79,0.0,65.51
2020-08-28,16.97,21.98,13.3,0.0,63.17
2020-08-29,15.99,20.8,12.62,0.0,66.65
2020-08-30,15.99,20.7,12.18,0.0,65.56
2020-08-31,16.44,21.63,12.4,0.0,63.01
2020-09-01,16.65,21.62,13.05,0.0,61.23
2020-09-02,16.0,20.73,12.2,0.0,65.81
2020-09-03,17.02,21.79,12.96,0.0,59.02
2020-09-04,17.38,22.16,12.79,0.0,57.09
2020-09-05,17.4,21.57,13.72,0.0,58.24
2020-09-06,17.23,22.03,13.36,0.0,59.06
2020-09-07,16.74,21.05,12.68,0.01,58.13
2020-09-08,17.09,21.37,13.65,0.0,56.36
2020-09-09,17.57,22.07,14.04,0.0,56.59
2020-09-10,17.43,22.03,13.55,0.0,57.23
2020-09-11,17.66,22.08,13.51,0.0,54.64
2020-09-12,17.67,22.04,14.6,0.0,59.13
2020-09-13,17.61,21.53,14.69,0.0,60.57
2020-09-14,17.77,21.74,14.17,0.0,60.27
2020-09-15,17.37,22.06,14.02,0.01,60.35
2020-09-16,17.19,22.46,13.53,0.0,53.71
2020-09-17,16.73,21.48,12.81,0.0,53.38
2020-09-18,17.29,22.24,13.28,0.0,55.19
2020-09-19,17.47,22.41,13.87,0.0,60.55
2020-09-20,17.56,22.62,13.76,0.0,62.38
2020-09-21,17.71,22.11,14.1,0.0,60.85
2020-09-22,17.6,22.6,13.84,0.02,59.01
2020-09-23,17.82,22.48,14.24,0.01,61.61
2020-09-24,17.95,23.64,13.49,0.03,59.16
2020-09-25,17.7,22.05,14.68,0.02,62.32
2020-09-26,17.43,21.38,14.46,0.02,61.82
2020-09-27,17.25,22.14,13.75,0.01,59.38
2020-09-28,17.15,21.73,13.7,0.0,60.52
2020-09-29,17.58,21.75,14.38,0.0,61.59
2020-09-30,17.48,20.86,14.89,0.0,64.04
2020-10-01,18.31,21.85,15.46,0.0,61.66
2020-10-02,17.58,21.31,14.4,0.0,65.17
2020-10-03,17.8,22.49,14.19,0.0,63.91
2020-10-04,17.26,21.46,14.49,0.0,66.78
2020-10-05,17.08,21.73,13.71,0.0,65.96
2020-10-06,17.23,21.93,12.69,0.0,62.83
2020-10-07,18.8,23.62,14.18,0.0,57.18
2020-10-08,18.3,22.36,15.05,0.0,61.37
2020-10-09,18.89,24.11,15.31,0.0,57.93
2020-10-10,18.61,23.29,13.85,0.0,59.44
2020-10-11,18.96,24.53,14.59,0.0,57.98
2020-10-12,18.7,23.05,14.43,0.0,57.57
2020-10-13,18.65,22.33,15.46,0.01,60.07
2020-10-14,18.2,21.96,15.66,0.03,62.89
2020-10-15,19.17,23.65,15.46,0.0,56.98
2020-10-16,19.75,24.74,15.43,0.0,57.08
2020-10-17,19.09,23.92,15.75,0.0,61.11
2020-10-18,17.78,22.37,14.5,0.0,61.67
2020-10-19,17.72,22.54,13.7,0.0,58.4
2020-10-20,18.02,23.14,13.77,0.0,57.97
2020-10-21,18.3,22.7,14.48,0.0,57.14
2020-10-22,18.94,23.69,14.86,0.0,56.47
2020-10-23,18.84,23.02,15.27,0.02,56.66
2020-10-24,17.61,21.64,14.5,0.02,63.52
2020-10-25,18.0,22.13,14.9,0.0,62.79
2020-10-26,18.93,23.8,15.51,0.0,58.16
2020-10-27,18.38,23.29,14.91,0.0,64.3
2020-10-28,17.87,22.57,14.01,0.4,61.11
2020-10-29,17.59,21.91,14.75,0.18,61.93
2020-10-30,17.96,21.82,14.82,0.01,60.3
2020-10-31,18.1,23.06,15.07,0.11,47.57
2020-11-01,17.38,22.01,13.56,0.02,50.5
2020-11-02,16.51,21.01,12.94,0.0,58.4
2020-11-03,16.57,20.7,12.84,0.0,67.44
2020-11-04,17.73,22.12,13.59,0.0,60.93
2020-11-05,18.01,22.43,14.61,0.0,59.23
2020-11-06,17.73,22.8,14.23,0.01,61.38
2020-11-07,17.33,21.69,13.2,0.01,64.86
2020-11-08,17.89,23.12,13.4,0.0,64.56
2020-11-09,17.74,22.19,13.82,0.0,65.63
2020-11-10,17.46,22.2,14.07,0.98,65.49
2020-11-11,17.53,22.65,13.39,0.06,60.45
2020-11-12,17.46,21.93,13.49,0.02,58.53
2020-11-13,17.7,22.43,14.25,0.0,58.82
2020-11-14,17.37,22.05,13.9,0.04,61.91
2020-11-15,17.25,21.54,13.17,0.01,64.63
2020-11-16,17.86,22.14,13.89,0.01,63.03
2020-11-17,17.66,22.0,14.37,0.0,64.17
2020-11-18,17.84,22.36,13.92,0.01,61.21
2020-11-19,18.21,23.13,14.07,0.0,57.79
2020-11-20,18.04,22.75,14.68,0.0,56.75
2020-11-21,17.58,20.65,15.56,0.01,58.64
2020-11-22,18.21,22.58,14.29,0.0,61.19
2020-11-23,18.77,24.27,13.93,0.0,60.43
2020-11-24,18.34,23.31,13.7,0.0,63.4
2020-11-25,17.69,21.09,15.16,0.0,65.89
2020-11-26,17.91,22.1,14.29,0.0,64.67
2020-11-27,18.55,22.9,15.35,0.04,58.89
2020-11-28,19.53,23.38,16.08,0.01,56.17
2020-11-29,19.22,23.19,16.21,0.02,62.02
2020-11-30,18.39,22.32,15.17,0.01,69.85
2020-12-01,18.19,21.97,15.03,0.01,71.97
2020-12-02,18.11,21.56,15.18,0.03,71.01
2020-12-03,16.98,19.86,14.0,0.04,76.72
2020-12-04,17.61,19.87,14.67,0.24,73.31
2020-12-05,18.08,20.99,15.91,0.08,73.95
2020-12-06,18.69,21.72,16.23,0.1,72.41
2020-12-07,18.02,20.64,15.77,0.81,75.72
2020-12-08,18.56,21.88,15.57,0.11,74.11
2020-12-09,18.58,22.19,15.81,0.0,71.98
2020-12-10,18.6,22.62,15.34,0.01,72.04
2020-12-11,18.25,22.26,15.08,0.01,73.5
2020-12-12,18.18,21.79,14.56,0.01,73.92
2020-12-13,18.76,23.1,15.09,0.04,68.56
2020-12-14,19.17,23.09,15.5,0.01,68.72
2020-12-15,18.6,22.18,14.92,0.01,68.78
2020-12-16,18.7,22.89,15.96,0.12,69.06
2020-12-17,18.14,21.02,14.88,0.06,74.71
2020-12-18,18.28,21.54,16.02,0.1,75.5
2020-12-19,18.83,22.39,15.25,0.06,73.32
2020-12-20,19.15,22.89,16.12,0.05,71.71
2020-12-21,19.32,23.61,16.13,0.03,69.6
2020-12-22,18.45,21.54,16.44,0.08,76.03
2020-12-23,18.47,22.1,15.65,0.05,71.86
2020-12-24,18.34,21.16,15.45,0.03,68.69
2020-12-25,17.67,21.93,14.25,0.05,74.5
2020-12-26,18.13,21.58,15.09,0.34,75.5
2020-12-27,17.47,20.68,15.26,0.46,78.42
2020-12-28,19.03,22.48,16.09,0.13,66.13
2020-12-29,19.51,24.43,16.26,0.34,61.13
2020-12-30,18.84,23.02,16.25,4.94,70.93
2020-12-31,17.92,21.39,15.89,2.08,77.79
2021-01-01,18.35,21.51,15.81,0.12,77.16
2021-01-02,19.14,22.87,15.6,0.13,73.94
2021-01-03,18.9,21.72,16.45,0.26,75.68
2021-01-04,18.79,21.73,15.9,0.54,73.24
2021-01-05,18.05,20.91,15.77,0.16,74.18
2021-01-06,18.88,23.01,15.7,0.39,71.67
2021-01-07,19.05,22.54,15.8,0.2,68.75
2021-01-08,19.17,22.91,15.93,0.06,76.61
2021-01-09,18.84,22.17,15.94,0.09,80.48
2021-01-10,19.17,22.9,16.05,0.12,78.13
2021-01-11,19.36,22.7,16.21,0.16,77.5
2021-01-12,19.08,22.61,16.6,0.8,78.32
2021-01-13,18.9,22.33,16.39,2.53,81.06
2021-01-14,18.44,20.89,16.41,4.17,82.73
2021-01-15,18.23,20.58,16.36,1.51,81.41
2021-01-16,18.59,21.49,15.69,0.04,72.97
2021-01-17,19.28,23.83,16.15,0.0,68.11
2021-01-18,19.18,22.79,16.34,0.06,71.86
2021-01-19,19.85,23.89,16.86,0.08,70.66
2021-01-20,19.63,23.3,16.78,0.12,72.88
2021-01-21,19.58,22.91,16.74,0.04,75.61
2021-01-22,19.66,23.59,16.63,0.01,75.83
2021-01-23,20.08,24.46,16.86,0.01,72.0
2021-01-24,20.11,24.4,17.09,0.02,70.87
2021-01-25,20.06,24.47,16.77,0.23,70.23
2021-01-26,20.09,24.69,16.75,0.07,69.34
2021-01-27,20.17,24.15,17.24,0.0,67.29
2021-01-28,20.64,25.23,17.1,0.0,61.73
2021-01-29,20.1,24.51,16.59,0.01,60.77
2021-01-30,19.62,24.33,16.12,0.03,67.78
2021-01-31,20.17,23.82,16.91,0.06,67.76
2021-02-01,19.76,23.43,16.27,0.01,69.31
2021-02-02,19.99,23.75,16.95,0.0,67.4
2021-02-03,19.9,23.3,17.04,0.01,66.87
2021-02-04,19.72,23.75,16.5,0.28,72.62
2021-02-05,19.56,23.35,16.95,0.42,75.96
2021-02-06,19.3,22.33,17.03,0.09,77.04
2021-02-07,20.22,24.76,17.26,0.03,71.33
2021-02-08,20.93,25.37,17.58,0.03,67.56
2021-02-09,21.14,25.58,18.04,0.06,66.55
2021-02-10,20.09,24.11,16.67,0.02,72.09
2021-02-11,20.35,23.97,17.94,0.08,70.17
2021-02-12,20.11,23.31,17.82,0.15,71.16
2021-02-13,20.86,25.7,17.38,0.0,66.2
2021-02-14,20.49,24.92,16.98,0.0,66.42
2021-02-15,20.35,24.97,16.98,0.0,65.43
2021-02-16,20.26,24.53,16.62,0.01,62.3
2021-02-17,20.71,25.71,17.07,0.0,58.81
2021-02-18,20.68,25.57,17.18,0.0,56.56
2021-02-19,20.29,25.07,16.18,0.0,57.44
2021-02-20,19.84,24.4,16.3,0.01,60.17
2021-02-21,19.1,23.11,16.31,0.03,70.07
2021-02-22,19.32,23.19,16.16,0.02,69.6
2021-02-23,19.74,24.09,16.78,0.02,67.59
2021-02-24,20.46,25.36,16.52,0.01,65.09
2021-02-25,20.74,25.7,17.59,0.01,68.36
2021-02-26,20.72,25.34,17.07,0.0,70.38
2021-02-27,19.92,23.52,17.31,0.0,71.68
2021-02-28,20.06,23.53,17.53,0.05,73.4
2021-03-01,20.59,24.68,17.7,0.18,70.01
2021-03-02,19.31,22.59,17.15,0.76,79.2
2021-03-03,20.3,23.8,17.45,0.12,69.22
2021-03-04,19.33,22.86,17.13,0.2,77.68
2021-03-05,19.68,23.5,17.33,0.15,82.88
2021-03-06,20.6,24.19,17.52,0.41,75.12
2021-03-07,20.13,23.73,17.48,0.81,78.63
2021-03-08,20.98,25.34,17.69,0.21,67.17
2021-03-09,19.95,23.74,17.4,0.14,76.22
2021-03-10,19.78,23.24,17.47,0.48,80.68
2021-03-11,19.96,23.86,16.8,0.08,76.21
2021-03-12,20.3,24.52,17.08,0.0,72.02
2021-03-13,20.18,24.25,17.21,0.0,69.39
2021-03-14,19.98,23.59,16.62,0.02,70.99
2021-03-15,20.24,24.14,17.67,0.01,68.55
2021-03-16,18.87,22.13,16.57,0.15,72.01
2021-03-17,20.18,23.99,17.42,0.08,68.98
2021-03-18,20.23,24.5,16.74,0.02,69.16
2021-03-19,19.99,24.25,17.26,0.01,65.85
2021-03-20,19.95,24.65,16.38,0.02,63.4
2021-03-21,19.9,24.4,16.69,0.04,61.28
2021-03-22,19.87,24.17,16.87,0.05,66.21
2021-03-23,19.34,23.7,16.54,0.31,75.5
2021-03-24,19.79,24.05,16.86,0.17,73.51
2021-03-25,19.67,23.71,16.52,0.04,74.56
2021-03-26,19.55,22.96,17.23,0.03,75.64
2021-03-27,19.51,23.77,16.11,0.11,74.87
2021-03-28,19.78,23.76,16.9,0.11,72.88
2021-03-29,18.43,21.55,16.62,1.57,79.08
